Grama,Kilos,NGRDI,MSAVI,MGRVI,RGBIndex,VARI,TGI,GLI,ExGRaw,ExG,ExRM,ExGR,NDVI,SAVI,RDVI,NLI,CVI,GNDVI,PanNDVI,NDRE,NDVIRE,SFDVI
286,"22,36","0,44","0,65","0,73","0,79","0,55","243.950.317,01","0,49","1.681,99","0,78","-0,3","2.260,36","0,81","1,22","59,95",1,"1,5","0,59","0,39","0,22","0,73","1,69"
244,"22,10","0,41","0,61","0,7","0,77","0,52","226.126.436,06","0,46","1.525,88","0,73","-0,27","2.017,46","0,79","1,19","55,77",1,"1,55","0,57","0,36","0,21","0,7","1,66"
272,"26,13","0,45","0,67","0,74","0,79","0,57","237.271.845,74","0,49","1.679,21","0,78","-0,32","2.268,52","0,82","1,23","60,58",1,"1,5","0,59","0,4","0,22","0,74","1,69"
280,"24,25","0,41","0,62","0,71","0,78","0,53","225.989.792,47","0,47","1.558,81","0,75","-0,28","2.070,72","0,8","1,2","57,26",1,"1,56","0,58","0,37","0,21","0,71","1,66"
396,"38,46","0,42","0,63","0,71","0,72","0,58","124.263.217,28","0,43","1.102,63","0,67","-0,32","1.493,19","0,87","1,31","67,88",1,"2,52","0,72","0,55","0,34","0,76","2,08"
488,"35,21","0,44","0,66","0,73","0,74","0,61","132.450.212,71","0,44","1.171,95","0,69","-0,34","1.605,24","0,88","1,32","70,7",1,"2,46","0,73","0,56","0,35","0,77","2,12"
334,"39,48","0,41","0,62","0,7","0,71","0,58","150.967.138,81","0,42","1.141,13","0,65","-0,31","1.544,09","0,87","1,3","67,84",1,"2,46","0,71","0,53","0,33","0,76","2,02"
596,"38,91","0,42","0,63","0,71","0,73","0,58","129.042.029,56","0,43","1.127,14","0,67","-0,32","1.528,67","0,87","1,31","67,11",1,"2,42","0,71","0,54","0,33","0,76","2,05"
486,"39,77","0,41","0,61","0,7","0,71","0,56","114.512.210,83","0,42","1.045,25","0,65","-0,3","1.406,10","0,87","1,3","65,88",1,"2,56","0,72","0,54","0,34","0,75","2,07"
452,"39,56","0,41","0,62","0,7","0,72","0,57","136.603.631,62","0,42","1.121,86","0,66","-0,31","1.515,25","0,87","1,31","68,1",1,"2,52","0,72","0,54","0,33","0,76","2,06"
480,"43,53","0,42","0,62","0,71","0,71","0,58","144.195.951,05","0,42","1.121,80","0,65","-0,32","1.522,63","0,87","1,31","68,9",1,"2,53","0,72","0,54","0,33","0,76","2,05"
428,"37,66","0,41","0,61","0,7","0,71","0,57","128.282.892,57","0,42","1.084,77","0,65","-0,31","1.461,43","0,87","1,3","66,5",1,"2,51","0,71","0,53","0,33","0,76","2,02"
418,"36,45","0,4","0,6","0,69","0,7","0,57","127.543.584,84","0,41","1.036,87","0,63","-0,31","1.398,16","0,87","1,31","68,4",1,"2,73","0,73","0,55","0,36","0,75","2,16"
542,"36,02","0,41","0,61","0,7","0,7","0,58","108.722.899,38","0,41","999,54","0,64","-0,31","1.352,93","0,88","1,32","68,39",1,"2,78","0,74","0,57","0,37","0,76","2,19"
352,"36,77","0,42","0,63","0,71","0,71","0,59","131.726.074,23","0,42","1.080,83","0,64","-0,32","1.471,08","0,88","1,32","70,52",1,"2,69","0,73","0,56","0,36","0,76","2,18"
534,"43,66","0,4","0,6","0,69","0,69","0,57","131.962.724,66","0,4","1.023,25","0,61","-0,3","1.379,24","0,88","1,32","69,6",1,"2,84","0,74","0,56","0,36","0,76","2,13"
574,"38,67","0,44","0,66","0,74","0,74","0,61","129.941.848,56","0,44","1.168,24","0,69","-0,34","1.601,00","0,88","1,32","70,02",1,"2,43","0,72","0,56","0,35","0,77","2,11"
468,"37,10","0,42","0,63","0,72","0,73","0,58","129.055.135,11","0,43","1.120,40","0,67","-0,32","1.520,78","0,88","1,32","68,97",1,"2,54","0,72","0,55","0,34","0,76","2,09"
580,"39,01","0,41","0,61","0,7","0,72","0,56","106.505.225,99","0,42","1.022,55","0,65","-0,3","1.375,96","0,87","1,3","63,74",1,"2,47","0,71","0,53","0,33","0,75","2,03"
378,"36,11","0,4","0,6","0,69","0,71","0,56","138.894.224,42","0,42","1.097,01","0,64","-0,3","1.475,40","0,86","1,29","65,76",1,"2,46","0,71","0,52","0,31","0,75","1,97"
360,"39,46","0,43","0,64","0,72","0,73","0,59","124.475.665,84","0,43","1.121,68","0,68","-0,32","1.525,71","0,87","1,31","67,61",1,"2,43","0,72","0,54","0,34","0,76","2,08"
438,"41,84","0,43","0,64","0,72","0,73","0,58","133.255.294,39","0,44","1.163,00","0,68","-0,32","1.579,51","0,87","1,31","67,41",1,"2,36","0,71","0,53","0,33","0,76","2,03"
546,"42,85","0,41","0,61","0,7","0,72","0,56","127.630.045,75","0,42","1.091,30","0,66","-0,31","1.470,21","0,87","1,3","66,51",1,"2,5","0,71","0,53","0,33","0,75","2,04"
544,"37,21","0,42","0,63","0,71","0,72","0,58","133.812.325,43","0,42","1.114,20","0,66","-0,32","1.511,56","0,87","1,31","67,58",1,"2,47","0,71","0,54","0,33","0,76","2,03"
330,"38,63","0,42","0,63","0,72","0,74","0,57","144.451.025,35","0,44","1.213,08","0,69","-0,31","1.640,13","0,86","1,29","65,84",1,"2,23","0,69","0,51","0,31","0,76","1,96"
656,"35,72","0,43","0,65","0,73","0,75","0,59","153.402.105,38","0,45","1.256,15","0,7","-0,32","1.707,69","0,87","1,3",68,1,"2,24","0,7","0,52","0,31","0,76","1,98"
572,"31,34","0,43","0,65","0,73","0,76","0,57","169.919.392,79","0,46","1.345,23","0,72","-0,32","1.821,36","0,85","1,28","65,33",1,"2,01","0,67","0,49","0,28","0,75","1,87"
516,"41,86","0,4","0,6","0,69","0,71","0,56","154.811.674,06","0,42","1.151,63","0,65","-0,3","1.545,52","0,86","1,3","67,82",1,"2,5","0,71","0,53","0,32","0,75","1,98"
306,"34,89","0,42","0,63","0,72","0,74","0,57","135.081.006,93","0,44","1.184,36","0,69","-0,31","1.599,51","0,87","1,3","66,49",1,"2,32","0,7","0,52","0,31","0,76","1,98"
412,"32,30","0,45","0,67","0,74","0,77","0,59","140.270.289,08","0,47","1.297,47","0,74","-0,33","1.770,42","0,87","1,3","66,07",1,"2,04","0,68","0,51","0,3","0,77","1,93"
462,"29,37","0,43","0,64","0,72","0,75","0,57","163.111.261,37","0,45","1.294,16","0,7","-0,32","1.751,65","0,86","1,3","67,92",1,"2,21","0,69","0,52","0,3","0,76","1,95"
420,"37,20","0,42","0,63","0,72","0,74","0,57","164.451.169,69","0,44","1.269,42","0,69","-0,31","1.714,04","0,86","1,29","67,03",1,"2,22","0,69","0,51","0,29","0,76","1,91"
446,"31,37","0,4","0,6","0,69","0,71","0,56","122.291.249,24","0,42","1.067,35","0,65","-0,3","1.432,44","0,87","1,3","66,04",1,"2,55","0,71","0,53","0,33","0,75","2,04"
554,"37,02","0,42","0,64","0,72","0,73","0,59","111.983.575,34","0,43","1.082,67","0,68","-0,32","1.471,46","0,87","1,31","66,08",1,"2,42","0,71","0,54","0,34","0,76","2,07"
444,"38,20","0,43","0,64","0,72","0,73","0,59","116.414.480,84","0,43","1.085,95","0,67","-0,33","1.481,29","0,88","1,32","68,35",1,"2,52","0,73","0,56","0,35","0,77","2,11"
456,"40,76","0,42","0,63","0,71","0,72","0,58","143.883.690,10","0,43","1.151,59","0,66","-0,32","1.563,28","0,87","1,31","67,81",1,"2,41","0,71","0,53","0,32","0,76",2
464,"40,32","0,39","0,58","0,67","0,68","0,54","115.147.692,25","0,4","965,71","0,61","-0,29","1.288,44","0,87","1,31","66,43",1,"2,84","0,73","0,55","0,36","0,74","2,14"
618,"47,20","0,41","0,61","0,7","0,7","0,58","100.961.968,08","0,41","962,74","0,63","-0,32","1.304,90","0,88","1,33","68,44",1,"2,86","0,74","0,57","0,38","0,76","2,23"
522,"42,33","0,4","0,6","0,69","0,7","0,56","116.334.947,20","0,41","1.006,33","0,63","-0,3","1.354,74","0,87","1,31","66,62",1,"2,69","0,73","0,55","0,36","0,75","2,14"
392,"44,28","0,38","0,57","0,67","0,68","0,54","114.252.527,28","0,39","944,61","0,6","-0,28","1.258,55","0,87","1,3","65,82",1,"2,85","0,73","0,55","0,34","0,75","2,07"